Sequence Name	Sequence Description	GO Accession	GO Names	GO Domains	Enzyme Codes	InterPro IDs	InterPro GO Acession	InterPro GO Names
FVEG_11051	amino-acid permease inda1	"GO:0016021, GO:0015171,  GO:0003333"	"integral component of membrane, amino acid transmembrane transporter activity,  amino acid transmembrane transport"	"C, F,  P"		"IPR002293 (PIRSF), IPR004841 (PFAM), IPR002293 (PANTHER), PTHR11785:SF254 (PANTHER), IPR004840 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, P:GO:0003333, F:GO:0015171, P:GO:0006810, P:GO:0055085, C:GO:0016021,  P:GO:0006865"	"C:membrane, P:amino acid transmembrane transport, F:amino acid transmembrane transporter activity, P:transport, P:transmembrane transport, C:integral component of membrane, P:amino acid transport"
FVEG_11054	protein					no IPS match	no IPS match	no IPS match
FVEG_11064	glycoside hydrolase family 76	"GO:0008496,  GO:0016052"	"mannan endo-1,6-alpha-mannosidase activity,  carbohydrate catabolic process"	"F,  P"	EC:3.2.1.101	"IPR014480 (PIRSF), IPR005198 (PFAM), IPR012341 (G3DSA:1.50.10.GENE3D), PTHR12145 (PANTHER), PTHR12145:SF16 (PANTHER), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), IPR008928 (SUPERFAMILY),  TMhelix (TMHMM)"	"P:GO:0016052, F:GO:0008496,  F:GO:0003824"	"P:carbohydrate catabolic process, F:mannan endo-1,6-alpha-mannosidase activity, F:catalytic activity"
FVEG_11073	hypothetical protein FVEG_11073					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11078	benzoate carboxyl methyltransferase	"GO:0032259,  GO:0008168"	"methylation,  methyltransferase activity"	"P,  F"		"IPR029063 (G3DSA:3.40.50.GENE3D), IPR005299 (PFAM), PTHR31009 (PANTHER),  IPR029063 (SUPERFAMILY)"	F:GO:0008168	F:methyltransferase activity
FVEG_11079	cytochrome p450	"GO:0020037, GO:0016705, GO:0004497, GO:0005506, GO:0009055, GO:0055114,  GO:0006118"	"heme binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, monooxygenase activity, iron ion binding, electron carrier activity, oxidation-reduction process,  obsolete electron transport"	"F, F, F, F, F, P,  P"		"IPR002401 (PRINTS), IPR001128 (PRINTS), IPR001128 (G3DSA:1.10.630.GENE3D), IPR001128 (PFAM), PTHR24305 (PANTHER), IPR017972 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  IPR001128 (SUPERFAMILY)"	"P:GO:0055114, F:GO:0005506, F:GO:0016705,  F:GO:0020037"	"P:oxidation-reduction process, F:iron ion binding, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, F:heme binding"
FVEG_11080	aldehyde dehydrogenase	"GO:0016620,  GO:0055114"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,  oxidation-reduction process"	"F,  P"		"IPR016162 (G3DSA:3.40.605.GENE3D), IPR016163 (G3DSA:3.40.309.GENE3D), IPR015590 (PFAM), PTHR11699 (PANTHER), PTHR11699:SF33 (PANTHER),  IPR016161 (SUPERFAMILY)"	"P:GO:0008152, P:GO:0055114, F:GO:0016491,  F:GO:0016620"	"P:metabolic process, P:oxidation-reduction process, F:oxidoreductase activity, F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
FVEG_11083	eukaryotic aspartyl protease	"GO:0004190,  GO:0006508"	"aspartic-type endopeptidase activity,  proteolysis"	"F,  P"	EC:3.4.23	"IPR001461 (PRINTS), IPR001461 (PFAM), IPR021109 (G3DSA:2.40.70.GENE3D), PTHR13683:SF75 (PANTHER), IPR001461 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  IPR021109 (SUPERFAMILY)"	"F:GO:0004190,  P:GO:0006508"	"F:aspartic-type endopeptidase activity, P:proteolysis"
FVEG_11084	translation elongation factor eef-1b gamma	"GO:0043295,  GO:0005515"	"glutathione binding,  protein binding"	"F,  F"		"IPR004045 (PFAM), IPR010987 (G3DSA:1.20.1050.GENE3D), IPR004046 (PFAM), IPR012336 (G3DSA:3.40.30.GENE3D), PTHR11260 (PANTHER), PTHR11260:SF143 (PANTHER), IPR010987 (PROSITE_PROFILES), IPR004045 (PROSITE_PROFILES), IPR012336 (SUPERFAMILY),  IPR010987 (SUPERFAMILY)"	F:GO:0005515	F:protein binding
FVEG_11085	alpha beta hydrolase	GO:0016787	hydrolase activity	F		"PF12697 (PFAM), IPR029058 (G3DSA:3.40.50.GENE3D), G3DSA:1.20.1440.110 (GENE3D), PTHR17630 (PANTHER), PTHR17630:SF39 (PANTHER),  IPR029058 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11086	polyketide synthase	"GO:0016740, GO:0031177,  GO:0008152"	"transferase activity, phosphopantetheine binding,  metabolic process"	"F, F,  P"		"IPR020842 (SMART), IPR020807 (SMART), IPR020801 (SMART), IPR020806 (SMART), IPR020841 (SMART), IPR016038 (G3DSA:3.40.47.GENE3D), IPR013217 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), G3DSA:2.30.38.10 (GENE3D), IPR000873 (PFAM), IPR001227 (G3DSA:3.40.366.GENE3D), IPR014030 (PFAM), IPR013968 (PFAM), IPR014043 (PFAM), IPR013120 (PFAM), G3DSA:3.40.50.980 (GENE3D), IPR016040 (G3DSA:3.40.50.GENE3D), IPR010071 (TIGRFAM), IPR009081 (PFAM), IPR014031 (PFAM), PF13745 (PFAM), IPR009081 (G3DSA:1.10.1200.GENE3D), IPR001242 (PFAM), PF14765 (PFAM), G3DSA:3.30.70.250 (GENE3D), G3DSA:3.30.300.30 (GENE3D), PTHR11712:SF220 (PANTHER), PTHR11712 (PANTHER), IPR018201 (PROSITE_PATTERNS), IPR006162 (PROSITE_PATTERNS), IPR020845 (PROSITE_PATTERNS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR009081 (PROSITE_PROFILES), IPR029063 (SUPERFAMILY), IPR009081 (SUPERFAMILY), SSF52777 (SUPERFAMILY), SSF51735 (SUPERFAMILY), IPR016035 (SUPERFAMILY), SSF56801 (SUPERFAMILY), IPR016039 (SUPERFAMILY),  IPR016036 (SUPERFAMILY)"	"F:GO:0031177, F:GO:0003824, P:GO:0008152,  F:GO:0016740"	"F:phosphopantetheine binding, F:catalytic activity, P:metabolic process, F:transferase activity"
FVEG_11090	fungal specific transcription factor domain-containing protein	"GO:0006357, GO:0008270, GO:0000981,  GO:0005634"	"regulation of transcription from RNA polymerase II promoter, zinc ion binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding,  nucleus"	"P, F, F,  C"		"IPR001138 (SMART), IPR001138 (PFAM), IPR001138 (G3DSA:4.10.240.GENE3D), PTHR31001 (PANTHER), PTHR31001:SF3 (PANTHER), IPR001138 (PROSITE_PROFILES),  IPR001138 (SUPERFAMILY)"	"P:GO:0006355, C:GO:0005634, F:GO:0000981,  F:GO:0008270"	"P:regulation of transcription, DNA-templated, C:nucleus, F:RNA polymerase II transcription factor activity, sequence-specific DNA binding, F:zinc ion binding"
FVEG_11137	related to monophenol monooxygenase	"GO:0046872, GO:0016491,  GO:0055114"	"metal ion binding, oxidoreductase activity,  oxidation-reduction process"	"F, F,  P"		"IPR002227 (PRINTS), IPR008922 (G3DSA:1.10.1280.GENE3D), IPR002227 (PFAM), PTHR11474 (PANTHER), PTHR11474:SF17 (PANTHER), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  IPR008922 (SUPERFAMILY)"	"F:GO:0016491,  P:GO:0008152"	"F:oxidoreductase activity, P:metabolic process"
FVEG_11145	hypothetical protein FVEG_11145					"Coil (COILS), Coil (COILS), Coil (COILS), Coil (COILS),  Coil (COILS)"	no GO terms	no GO terms
FVEG_11151	hypothetical protein FVEG_11151					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_GRAM_NEGATIVE)"	no GO terms	no GO terms
FVEG_11201	hypothetical protein FVEG_11201					"G3DSA:3.10.450.50 (GENE3D),  SSF54427 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11203	hypothetical protein FVEG_11203	"GO:0046872, GO:0016491, GO:0055114, GO:0016813,  GO:0006807"	"metal ion binding, oxidoreductase activity, oxidation-reduction process, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines,  nitrogen compound metabolic process"	"F, F, P, F,  P"		"IPR023696 (G3DSA:3.40.800.GENE3D), IPR006035 (PFAM), IPR006035 (PROSITE_PROFILES),  SSF52768 (SUPERFAMILY)"	"F:GO:0046872,  F:GO:0016813"	"F:metal ion binding, F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"
FVEG_11209	related to integral membrane protein					"CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11221	wsc domain-containing protein	"GO:0020037, GO:0004601, GO:0055114, GO:0006979,  GO:0006804"	"heme binding, peroxidase activity, oxidation-reduction process, response to oxidative stress,  obsolete peroxidase reaction"	"F, F, P, P,  P"	EC:1.11.1.7	"IPR002016 (PFAM), G3DSA:1.10.520.10 (GENE3D), PTHR31356:SF4 (PANTHER), PTHR31356 (PANTHER), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), IPR002016 (PROSITE_PROFILES), SignalP-TM (SIGNALP_GRAM_POSITIVE), SignalP-noTM (SIGNALP_EUK),  IPR010255 (SUPERFAMILY)"	"F:GO:0020037, P:GO:0055114, P:GO:0006979,  F:GO:0004601"	"F:heme binding, P:oxidation-reduction process, P:response to oxidative stress, F:peroxidase activity"
FVEG_11228	related to pectinesterase	"GO:0030599, GO:0042545, GO:0045330, GO:0005618, GO:0005982,  GO:0005985"	"pectinesterase activity, cell wall modification, aspartyl esterase activity, cell wall, starch metabolic process,  sucrose metabolic process"	"F, P, F, C, P,  P"	EC:3.1.1.11	"IPR006626 (SMART), IPR012334 (G3DSA:2.160.20.GENE3D), IPR000070 (PFAM), PTHR31321:SF13 (PANTHER), PTHR31321 (PANTHER), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK), SignalP-TM (SIGNALP_GRAM_POSITIVE),  IPR011050 (SUPERFAMILY)"	"F:GO:0030599, C:GO:0005618,  P:GO:0042545"	"F:pectinesterase activity, C:cell wall, P:cell wall modification"
FVEG_11229	major facilitator superfamily transporter	"GO:0055085,  GO:0016021"	"transmembrane transport,  integral component of membrane"	"P,  C"		"G3DSA:1.20.1250.20 (GENE3D), IPR011701 (PFAM), PTHR11662 (PANTHER), PTHR11662:SF161 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), IPR020846 (PROSITE_PROFILES), IPR016196 (SUPERFAMILY), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016021,  P:GO:0055085"	"C:integral component of membrane, P:transmembrane transport"
FVEG_11231	argininosuccinate synthase					"IPR021858 (PFAM), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS),  CYTOPLASMIC_DOMAIN (PHOBIUS)"	no GO terms	no GO terms
FVEG_11284	late sexual development protein					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-TM (SIGNALP_GRAM_POSITIVE),  SignalP-noTM (SIGNALP_EUK)"	no GO terms	no GO terms
FVEG_11328	apoptosis-inducing factor 2	"GO:0050660, GO:0016491,  GO:0055114"	"flavin adenine dinucleotide binding, oxidoreductase activity,  oxidation-reduction process"	"F, F,  P"		"PR00411 (PRINTS), IPR013027 (PRINTS), IPR001327 (PFAM), IPR023753 (PFAM), G3DSA:3.50.50.60 (GENE3D), PTHR22915 (PANTHER), PTHR22915:SF5 (PANTHER),  SSF51905 (SUPERFAMILY)"	"P:GO:0055114, F:GO:0016491,  F:GO:0050660"	"P:oxidation-reduction process, F:oxidoreductase activity, F:flavin adenine dinucleotide binding"
FVEG_11330	long-chain acyl- synthetase	"GO:0016874,  GO:0008152"	"ligase activity,  metabolic process"	"F,  P"		"G3DSA:3.40.50.980 (GENE3D), IPR000873 (PFAM), G3DSA:2.30.38.10 (GENE3D), IPR025110 (PFAM), G3DSA:3.30.300.30 (GENE3D), PTHR24095 (PANTHER), PTHR24095:SF108 (PANTHER), IPR020845 (PROSITE_PATTERNS), SSF56801 (SUPERFAMILY),  TMhelix (TMHMM)"	"P:GO:0008152,  F:GO:0003824"	"P:metabolic process, F:catalytic activity"
FVEG_11455	hypothetical protein FVEG_11455					"SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
FVEG_11456	hypothetical protein FVEG_11456					"NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	no GO terms	no GO terms
FVEG_11568	amino-acid permease inda1	"GO:0016021, GO:0015171,  GO:0003333"	"integral component of membrane, amino acid transmembrane transporter activity,  amino acid transmembrane transport"	"C, F,  P"		"IPR002293 (PIRSF), IPR004841 (PFAM), PTHR11785:SF254 (PANTHER), IPR002293 (PANTHER), IPR004840 (PROSITE_PATTERNS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TRANSMEMBRANE (PHOBIUS), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM), TMhelix (TMHMM),  TMhelix (TMHMM)"	"C:GO:0016020, F:GO:0015171, P:GO:0003333, P:GO:0006810, P:GO:0055085, P:GO:0006865,  C:GO:0016021"	"C:membrane, F:amino acid transmembrane transporter activity, P:amino acid transmembrane transport, P:transport, P:transmembrane transport, P:amino acid transport, C:integral component of membrane"
FVEG_11614	related to methyltransferase					"PF13489 (PFAM), IPR029063 (G3DSA:3.40.50.GENE3D), PTHR10108 (PANTHER), PTHR10108:SF695 (PANTHER),  IPR029063 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11625	ankyrin repeat protein	"GO:0005515, GO:0003824,  GO:0009116"	"protein binding, catalytic activity,  nucleoside metabolic process"	"F, F,  P"		"IPR002110 (PRINTS), IPR002110 (SMART), IPR002110 (PFAM), IPR020683 (PFAM), PF05729 (PFAM), IPR020683 (G3DSA:1.25.40.GENE3D), IPR000845 (G3DSA:3.40.50.GENE3D), PTHR24182 (PANTHER), SIGNAL_PEPTIDE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), IPR020683 (PROSITE_PROFILES), IPR002110 (PROSITE_PROFILES), SignalP-noTM (SIGNALP_EUK), IPR020683 (SUPERFAMILY), IPR000845 (SUPERFAMILY), IPR027417 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0005515, F:GO:0003824,  P:GO:0009116"	"F:protein binding, F:catalytic activity, P:nucleoside metabolic process"
FVEG_11648	hypothetical protein FVEG_11648	"GO:0004190,  GO:0006508"	"aspartic-type endopeptidase activity,  proteolysis"	"F,  P"		"IPR001461 (PFAM), IPR021109 (G3DSA:2.40.70.GENE3D), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), TRANSMEMBRANE (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_EUK), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-TM (SIGNALP_GRAM_POSITIVE), IPR021109 (SUPERFAMILY),  TMhelix (TMHMM)"	"F:GO:0004190,  P:GO:0006508"	"F:aspartic-type endopeptidase activity, P:proteolysis"
FVEG_11649	glucose n-acetyltransferase 1	GO:0008270	zinc ion binding	F		"IPR029044 (G3DSA:3.90.550.GENE3D), PTHR11183 (PANTHER), PTHR11183:SF35 (PANTHER), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS),  IPR029044 (SUPERFAMILY)"	no GO terms	no GO terms
FVEG_11661	protein					"Coil (COILS), CYTOPLASMIC_DOMAIN (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS),  TRANSMEMBRANE (PHOBIUS)"	no GO terms	no GO terms
FVEG_11670	prostaglandin-endoperoxide synthase 1	"GO:0020037, GO:0016705, GO:0005506, GO:0004601, GO:0009055, GO:0055114, GO:0006979, GO:0006804,  GO:0006118"	"heme binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, iron ion binding, peroxidase activity, electron carrier activity, oxidation-reduction process, response to oxidative stress, obsolete peroxidase reaction,  obsolete electron transport"	"F, F, F, F, F, P, P, P,  P"	EC:1.11.1.7	"IPR019791 (PRINTS), IPR002007 (PFAM), IPR001128 (G3DSA:1.10.630.GENE3D), IPR002007 (G3DSA:1.10.640.GENE3D), IPR001128 (PFAM), PTHR11903:SF7 (PANTHER), PTHR11903 (PANTHER), CYTOPLASMIC_DOMAIN (PHOBIUS), TRANSMEMBRANE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), IPR002007 (PROSITE_PROFILES), IPR001128 (SUPERFAMILY),  IPR010255 (SUPERFAMILY)"	"P:GO:0006979, P:GO:0055114, F:GO:0020037, F:GO:0004601, F:GO:0016705,  F:GO:0005506"	"P:response to oxidative stress, P:oxidation-reduction process, F:heme binding, F:peroxidase activity, F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, F:iron ion binding"
FVEG_11689	gleya adhesin domain protein					"IPR011658 (G3DSA:3.90.182.GENE3D), IPR018871 (PFAM), SIGNAL_PEPTIDE_C_REGION (PHOBIUS), SIGNAL_PEPTIDE_N_REGION (PHOBIUS), SIGNAL_PEPTIDE_H_REGION (PHOBIUS), SIGNAL_PEPTIDE (PHOBIUS), NON_CYTOPLASMIC_DOMAIN (PHOBIUS), SignalP-noTM (SIGNALP_GRAM_NEGATIVE), SignalP-noTM (SIGNALP_EUK),  SignalP-TM (SIGNALP_GRAM_POSITIVE)"	no GO terms	no GO terms
